userid,login,pswrd,calendars,events,lstvs
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,1,"{""_name"": ""Запилить по красоте"", ""_descript"": ""Нанести непоправимые улучшения"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,1,"{""_name"": ""Порешать вопросы"", ""_descript"": ""Набросить на вентилятор"", ""_dates"": [""2024-04-25T00:00:00"", ""2024-04-25T00:00:00""], ""_period"": ""21"", ""_users"": [""Mihalych""]}",2024-05-10T16:02:40
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,1,"{""_name"": ""Порубиться в Ферму"", ""_descript"": ""Поднять рейтинг, собрать капусту, отгрузить картофан"", ""_dates"": [""2024-04-26T00:00:00"", ""2024-04-26T00:00:00""], ""_period"": ""21"", ""_users"": [""""]}",2024-05-10T16:02:40
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,2,"{""_name"": ""Забрать с Вайлдебериз"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,2,"{""_name"": ""Забрать с Озона"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,2,"{""_name"": ""Пошопиться в ЦУМ дисконте"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""0"", ""_users"": [""""]}",2024-05-10T16:02:40
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,3,"{""_name"": ""Качнуть бицуху"", ""_descript"": ""Не надорваться"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,3,"{""_name"": ""Качнуть ляхи"", ""_descript"": ""Не порвать лосины"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,3,"{""_name"": ""Качнуть прессуху"", ""_descript"": ""Не блевануть"", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""31"", ""_users"": [""""]}",2024-05-10T16:02:40
@1,Vasilich,6360741cd1413b85fd6e2023fbb7512f,4,"{""_name"": ""Сдать костный мозг"", ""_descript"": """", ""_dates"": [""2024-04-24T00:00:00"", ""2024-04-24T00:00:00""], ""_period"": ""61"", ""_users"": [""""]}",2024-05-10T16:02:40
